column,count,missing,mean,std,min,max
latitude,249001,0,30.082576296725712,1.4960967323423335,27.508364,32.698805
longitude,249001,0,75.83105335497447,1.2395014070811172,73.70113,77.996609
depth_top_cm,249001,0,15.0,0.0,15.0,15.0
depth_bottom_cm,249001,0,30.0,0.0,30.0,30.0
ph_h2o,249001,0,7.56632543644403,0.7469406433954852,5.3,9.9
organic_carbon_g_kg,249001,0,10.046970494094401,8.588847852025333,2.4,64.1
total_nitrogen_g_kg,249001,0,1.0562499748996992,0.6610712851284336,0.35,5.88
sand_pct,249001,0,41.809505985919735,8.688274689556154,7.1,83.9
silt_pct,249001,0,32.067900530519964,6.822184528403802,4.7,65.9
clay_pct,249001,0,26.12259348356031,3.8361963032436486,10.3,51.6
bulk_density_g_cm3,249001,0,1.4462922237260092,0.10625533282033017,1.04,1.76
cec_cmol_kg,249001,0,16.59299601206421,4.307704878491049,5.0,44.7
coarse_fragments_vol_pct,249001,0,10.87488644623917,7.127276044370137,0.4,44.3
