column,count,missing,mean,std,min,max
latitude,249001,0,30.082576296725712,1.4960967323423335,27.508364,32.698805
longitude,249001,0,75.83105335497447,1.2395014070811172,73.70113,77.996609
depth_top_cm,249001,0,0.0,0.0,0.0,0.0
depth_bottom_cm,249001,0,5.0,0.0,5.0,5.0
ph_h2o,249001,0,7.498858639121932,0.7316093839299803,5.3,9.9
organic_carbon_g_kg,249001,0,21.360633089826948,21.186443258116842,3.6,126.7
total_nitrogen_g_kg,249001,0,1.9413699944980143,1.5824021665478794,0.46,8.75
sand_pct,249001,0,43.178896871900115,7.797472868035477,8.4,73.4
silt_pct,249001,0,32.57791775936643,7.282418399109398,4.2,69.9
clay_pct,249001,0,24.24332151276501,3.3398195019617507,12.2,43.5
bulk_density_g_cm3,249001,0,1.398167597720491,0.13051087441380196,0.92,1.71
cec_cmol_kg,249001,0,18.285938610688312,4.657841771178125,7.2,45.7
coarse_fragments_vol_pct,249001,0,10.076799289962693,6.208639938723109,0.5,43.0
