column,count,missing,mean,std,min,max
latitude,249001,0,30.082576296725712,1.4960967323423335,27.508364,32.698805
longitude,249001,0,75.83105335497447,1.2395014070811172,73.70113,77.996609
depth_top_cm,249001,0,5.0,0.0,5.0,5.0
depth_bottom_cm,249001,0,15.0,0.0,15.0,15.0
ph_h2o,249001,0,7.529349279721769,0.7362184759716647,5.4,9.9
organic_carbon_g_kg,249001,0,14.366275235842426,13.516056544276003,3.3,89.7
total_nitrogen_g_kg,249001,0,1.2879648676109736,0.9405452587836447,0.37,8.9
sand_pct,249001,0,42.826618366994516,7.994699016376663,8.0,74.8
silt_pct,249001,0,32.43873398098803,7.100711310711643,4.4,68.5
clay_pct,249001,0,24.734763715808374,3.2964309968100896,12.5,44.8
bulk_density_g_cm3,249001,0,1.4181574772792078,0.1209176451114276,0.98,1.75
cec_cmol_kg,249001,0,16.638641611881077,4.5161005245333286,5.1,46.2
coarse_fragments_vol_pct,249001,0,10.223997092381156,6.530284591779034,0.5,43.6
