column,count,missing,mean,std,min,max
latitude,249001,0,30.082576296725712,1.4960967323423335,27.508364,32.698805
longitude,249001,0,75.83105335497447,1.2395014070811172,73.70113,77.996609
depth_top_cm,249001,0,30.0,0.0,30.0,30.0
depth_bottom_cm,249001,0,60.0,0.0,60.0,60.0
ph_h2o,249001,0,7.681429391849832,0.7616013503957595,5.4,9.8
organic_carbon_g_kg,249001,0,7.185914514399541,6.61541720195712,1.9,51.6
total_nitrogen_g_kg,249001,0,0.8201562644326729,0.5047766026229343,0.32,5.1
sand_pct,249001,0,40.74663073642275,9.035681662257636,6.4,86.8
silt_pct,249001,0,31.666490496022103,6.6292423026174285,5.1,66.5
clay_pct,249001,0,27.586763506973867,4.613844008120506,7.1,58.1
bulk_density_g_cm3,249001,0,1.464046971698909,0.09776232364405307,1.02,1.73
cec_cmol_kg,249001,0,16.627701093569907,4.1809262385288655,5.3,43.3
coarse_fragments_vol_pct,249001,0,12.242501837342019,7.548670991468394,0.2,44.0
